SH Description,Status,Notes / Latest Update,Fix Type,Channel,Captain,Component,Jira Tickets,Release Ticket,Planned Release Date
Unable to proceed past Starter Island on Playstation Platforms on 36.00,Resolved,Players cannot progress past Starting Island in BR on PlayStation consoles  in 36.00 FORT-890068. Issue is currently blocking testing on Playstation Platforms,,#sh-05-01-unable-to-proceed-past-starter-island-on-ext,Erica Tseng,,FORT-890068,,
DemoDisplay and DemoRoom Blueprints fail to cook in 36.00 UEFN builds,Resolved,,,#sh-05-09-demodisplay-and-demoroom-blueprints-fail-ext,Todd Winchell,,,,
OOM on iOS at 36.00,Resolved,,,#sh-05-20-oom-on-ios-at-36-00-ext,Rafael Ferrari,,FORT-910951,,
Matchmaking Issues blocking 36.00 perf playtests,Resolved,,,#sh-05-22-matchmaking-issues-blocking-36-playtests-ext,Jordan Allynor,,,,
Reload Dashberry HLODs Streaming broken,In PIR,Reload Dashberry HLODs Streaming broken in 36.00,,#sh-05-22-reload-dashberry-hlods-streaming-broken-ext,Corinne Cavallaro,,,,
"Publishing any newly created island failes with experimental usage warnings in 36.00
",Resolved,QA has been validating the 36.00 release and has reported being blocked from publishing any newly created islands. The publishing process gives errors about usage of experimental features even though none should existing in these islands.,,#sh-05-22-publishing-any-newly-created-island-fail-ext,Kurtis Schmidt,,FORT-912337,,
[LUNA / GFN] Payment page won't load on mobile,In PIR,Cannot load the payment page on streaming platform LUNA and GFN for 36.00 release (NOT LIVE) - MOBILE platform only,Client,#sh-05-23-luna-gfn-payment-page-wont-load-on-mobil-ext,Remi Senechal,,FORT-901583,,
Users cannot assign any creative_prop_assets through UEFN in 36.00,Resolved,,36.00 fix CL 42953459,#sh-05-23-users-cannot-assign-any-creative-prop-as-ext,Kurtis Schmidt,,FORT-913458,,
holes-in-mobile-water,Resolved,"The build from today generates other issues. A new PF was kicked with new numbers, so we can check this build tomorrow for potential IR to 36.00.",36.00 fix cl 43069918,#sh-05-23-holes-in-mobile-water-ext,Rafael Ferrari,,FORT-913204,,
Eight emotes with placeholder names are present in 36.00,DeEscalated,These emotes have user-facing names in 36.10 and won't be offered in the Shop until then or later. Issue is internal-only. We're good!,,#sh-05-29-emotes-with-placeholder-names-present-in-ext,Jonny Hylton,,FORT-914915,,
issues with Verse devices in 36.00,In PIR,The new build completed and QA has confirmed Verse devices are now working properly.,,#sh-05-26-onbegin-method-not-invoked-for-non-fte-u-ext,Tim Schwalk,,,,
[36.00] Issues Returning to Client from EShop,No Issue,,,#sh-05-30-36-00-issues-returning-to-client-from-es-ext,,,,,
iPad Pro 11 is crashing on startup for 36.00,Resolved,,Client 43039153,#sh-05-27-ipad-pro-11-is-crashing-on-startup-for-3-ext,Rafael Ferrari,,FORT-911814,,
Big loading time regression for mobile,Resolved,,Client 43044646,#sh-05-28-big-loading-time-regression-for-mobile-ext,Rafael Ferrari,,FORT-914823,,
36.00 lobby top bar nav disappears,Resolved,36.00 regression of top bar nav on passes and replay screens.,Client 43041477,#sh-05-28-36-00-lobby-top-bar-nav-disappears-ext,Olivia Tandowsky,,FORT-914900,,
Juno tile loading after long delay,Resolved,"For especially built-up worlds, players who leave an area then return may have to wait multiple minutes for the terrain and buildings to stream in on the client",Client 43051289,#sh-05-23-juno-tile-loading-after-long-delay-ext,Dan Mehler,Juno,PLAY-87678,,
fn-br-reload-Remove some timber stake references from the FN1GFS txt file,In PIR,,43043197,#sh-05-28-fn-br-reload-remove-some-timber-stake-re-ext,Corinne Cavallaro,Reload,FORT-915226,,
XSX Nullptr crash in EOS audio,In PIR,,client 43080455,#sh-05-29-36-00-xsx-nullptr-crash-in-eos-audio-ext,Logan Lafloat,EOS,FORT-914878,,
All hidden quests are visible in stw,In PIR,All hidden quests are visible in the STW quest log in 36.00,"client 
43073532",#sh-05-29-36-00-hidden-quests-visible-in-stw-ext,Stephan Delmar,STW,FORT-913298,,
WealthLamb Render Icon Update,Resolved,Final renders have been integrated into engine in CL 43077019 in 36.00 resolving the issue.,client 43077019,#sh-05-29-wealthlamb-render-icon-update-ext,James Evans,,FORT-915997,,
The background is blending with the emote reward,Resolved,Should have a preflight to test on Friday,Client 43109986,#sh-05-29-the-background-is-blending-with-the-emot-ext,Nicole Arriaza,,FORT-915861,,
Multiple cape backblings appear broken,Resolved,"Several capes are pulling through the characters appearing broken during skydive in 36.00. Open JIRA here: FORT-911373
This issue stems from the Nativization of certain AnimBP nodes, altering the expected look of physics.",client 43112625,#sh-05-29-backbling-multiple-capes-are-pulled-down-ext,Ali Agnew,Cosmetics,FORT-911373,,
Lego requires skin swap detective,Resolved,"LEGO won't allow sprout 36 work to ship without swapping a skin. Skin has been made, skin needs to be swapped in the data reference",client committed 43073532,#sh-05-29-lego-requires-skin-swap-on-detective-ext,Parker Linn,Juno,,,
speaking-icon-replacement,Resolved,"This CL has been merged with the AI outfit replacement CL. Both are in review now. Plan is to preflight, then cook a build tomororw and test, then merge it in.",Client,#sh-05-29-speaking-icon-replacement-ext,Parker Linn,,PLAY-88446,,
d-pad down becoming broken when backing out of models across the frontend,Resolved,A fix is being merged into 36.00 for testing and vetting tomorrow,"Client 43079193, 43121595",#sh-05-29-36-00-d-pad-down-no-fun-time-ext,,,,,
Mute NPC Option Needed,Resolved,,43124108,#sh-05-30-mute-npc-option-needed-for-sc-ship-ext,Parker Linn,,PLAY-88516,,
3d preview is cycling between outfits in the giftbox,Resolved,"FN future release, 36.00 version. After buying a pass, the preview is not working as intended",client 43110581,#sh-05-29-3d-preview-is-cycling-between-outfits-in-ext,Mariana Gauer,,FORT-914471,,
Bubble chat not visible to joined players,Resolved,Investigations for Bubble Chat to properly show up for JIP players are still ongoing. We have some leads and are hopeful to submit a fix in 36.00 with added CVars to prevent further regressions. Settings status to 'Pending' over off hours and the next update will be provided tomorrow.,client 43130837,#sh-05-29-bubble-chat-not-visible-to-joining-playe-ext,Phillip Reith,,FORT-885064,,
Floating Untextured Cube above Academy POI,Resolved,,client 43119606,#sh-05-30-floating-untextured-cube-above-academy-p-ext,Paige Dugre,,FORT-910619,,
"The ""Quick Play"" and ""Custom"" buttons cannot be selected when starting a mission in Save the World on consoles.",Resolved,"A UI focus issue popped up in live for consoles. Large negative impact for console players. Thankfully Sebastian Sueldo has a low-risk fix already identified, this SH was spun up for the purpose of integrating it into 36.00 as we felt that 36.10 was too long for this issue to go unfixed.",36.00 Client 43124468,#sh-05-30-the-quick-play-and-custom-buttons-cannot-ext,Erik Vandenberghe,,FORT-916678,,
Pre SH Text and Image are Missing on Cinematic Sequence in 36.00,Resolved,"As being reported by the FNE regression QA team, we are hitting a regression in 36.00 that none of the custom Text and Image are shown during the Cinematic Sequence usage, starting a new SH to coordinate the investigation and fix.","Maybe mitigation in 36.00, targetting 36.10 for fix",#sh-05-28-pre-sh-text-and-image-are-missing-on-cin-ext,Kavan Mann,UEFN,FORT-915065,,
Vulkan descriptor crash Android is the biggest one on 36.00,Resolved,"Currently, this Vulkan descriptor crash, [FORT-904642](https://jira.it.epicgames.com/browse/FORT-904642), is our biggest crash in Android.
We have a potential fix under review here. We are going to do a local test and confirm that it's good, and after that, move forward with IR.","Android client

Committed at 43151627",#sh-05-29-vulkan-descriptor-crash-android-is-the-b-ext,Rafael Ferrari,Tech-Mobile,FORT-904642,,
The amount of available V-Bucks is not updated with the title closed,Resolved,"-   With the help of Release QA, the team was able to verify the fix on Switch 2.
-   We are switching the incident to Resolved. We will monitor any similar issues during the Switch launch window on June 5th.
-   Thank you to everyone for the hard work.",,#sh-05-30-the-amount-of-available-v-bucks-is-not-u-ext,,,FORT-914720,,
mobile clients are getting a full-install when patching to 36.00,Resolved,"The TLDR of the issue is that when updating from the current live client 35.20 to 36.00, the client receives a full client install instead of a patch.
Currently investigating: the patch is really massive right now, which is resulting in this giant update. It became massive in the last days, so we are trying to understand why here.","Client Change Committed

++Fortnite+Release-36.00-CL-43199099",#sh-05-30-mobile-clients-are-getting-a-full-instal-ext,Rafael Ferrari,,FORT-916524,,
final baked prompt adjustments... ,Resolved,"Final Bits and bobs for SC
final baked in prompt adjustments for sprout chandelier before moving to hotfix only changes",Server HF,sh-05-30-final-baked-prompt-adjustments-ext,Parker Linn,,,,
URC2 Data Corruption Issue in UEFN,Resolved,"URC2 Issue Discovered with potential data corruption, looking to resolve before 36.00 launch or disable URC2 and keep URC1 for 36.00

QA have confirmed the fix","UEFN Only Rebuild

Committed 43164478",#sh-06-02-urc-in-uefn-may-corrupt-internal-state-w-ext,Raghav Narula,URC - UEFN,UCS-14872,,
Server/client crash from dynamixc delegates,Resolved,"No 36.00 repro, fix to be submitted for 36.10/.20 where its occurring","Client/Server Change
tbd",#sh-06-03-server-and-potential-client-crash-from-d-ext,Charles Painter,,FORT-917574,,
WriteAccess 30 Min Failure on Switch,Resolved,"Switch has failed the FS Access 30 and 10 minute checks on ++Fortnite+Release-36.00-CL-43133584

IR for 36.10 in flight which improves the issue. Still investigating whether its a full solve for the issue.
",36.10 Client,#sh-06-02-writeaccess-30-min-failure-on-switch-ext,Michael Wood,,,,
Sprout UEFN Only Rebuild,Resolved,,UEFN Only Rebuild,<PrivateSH>,Jon Luke Dunaj,,,,
BP Rewards Price obscured on Mobile,Resolved,"QA verified the EP build and although the fix worked, additional text in that screen not present at the time of the fix caused the issue to persist, although to a lesser degree. Legal and Locs will discuss tomorrow to see if a loc-based solution could alleviate the issue.",36.00 mobile EP (CL 43336063) + Hotfix,#sh-06-03-bp-rewards-price-obscured-on-mobile-ext,Samuel Carrier,,FORT-917789,,
ios install wont complete even after reset,Pending Release,"We are also not expecting to have an easy fix for this, so a possible 36.10 target, or likely 36.20.",36.20 fix,#sh-06-03-ios-install-wont-complete-even-after-res-ext,Rafael Ferrari,,,,
Client Crash in android.database.sqlite.SQLiteClosable.acquireReference,Resolved,Client Crash in android.database.sqlite.SQLiteClosable.acquireReference,36.00 mobile EP (CL 43336068),#sh-06-04-client-crash-in-android-database-sqlite-ext,Rafael Ferrari,,FORT-914201,,
Fortnite iOS App Review Issue - Stick in Update loop,Resolved,"36.00 has passed Apple App Review and is now ""Pending Developer Release""",,#sh-06-04-fortnite-ios-app-review-issue-stick-in-u-ext,Edwin Maynard,,,,
Adjust the BP Superman to be claimable starting at 36.00 ,Resolved,Private SH,MCP (CL 43290594),sh-06-05-shift-bp-superman-to-36-00-ext,Shania Williams,,,,
pre-36-juno-persistence-lockout,No Issue,"- We've confirmed this shouldn't be an issue for 36.00 deploy this weekend. It should only occur with the new initialization flow which isn't on in Live, and it can't occur for Juno.
- Panos has a 36.10 fix underway here https://p4-swarm.epicgames.net/changes/43309563 (server only)
- We kicked a Limited build here with that change: https://horde.devtools.epicgames.com/job/684316e981712ece9a62d6a5 which we'll try and vet later today or Monday before continuing to integrations.",,#sh-06-05-pre-36-juno-lockout-ext,Sky Martin,Juno,PLAY-89272,,
the countdown timers in Discover A Spot and Lobby for the star wars event are not synced,Resolved,"Should not need release actions, team fixing internally now",discovery,#sh-06-05-discover-and-lobby-timers-are-not-synced-ext,Joey Messick,,,,
Launcher icon for Switch 2 is not updated to match the Switch launcher icon for 36.00,Resolved,Integration pending commit,EP Switch (CL 43336072),#sh-06-05-switch-2-36-00-launcher-icon-incorrect-ext,Zach Moore,,FORT-919789,,
Cabined accounts can subscribe to crew,Resolved,"Private SH
It might be limited to iOS but naming it broadly just in case.  On iOS, Cabined Accounts are able to attempt to subscribe to FN Crew and if they choose the Apple IAP flow are able to attempt purchase.  Needs determining if this is also possible on other platforms.",All client 36.00 EP (CL 43336056),sh-06-05-cabined-accounts-can-subscribe-to-fn-cre-ext,Don Eubanks,,FORT-919870,,
FMCP Cacher version after profile delta,Resolved,"This was causing issues with MCPCachers, which use the command revision to know which version of the data they currently have. By setting the command revision WITHOUT setting the profile data, the cachers ended up in a broken state, where their revision number was updated but their data was not. When the new profile data finally did arrive after a full profile update, it would be with the same revision number, so the cachers would not update their values. They would return the old data until another profile command was run and updated the revision number.
*   Using profile version fixes the issue because the profile version gets set to -1 when the profile change cannot be applied, effectively invalidating the cache.
 
This problem is fixed by FORT-916905 but requires an EP to be in 36.00
Because it was too late, the client fix couldn't make it into the build.
When 36.00 goes Live, we need to re-evaluate the need for an emergency patch or wait for 36.10. See previous discussion",All client 36.00 EP (CL 43336054),#sh-06-06-fmcpcacher-version-after-profile-delta-e-ext,Loic Lautredou,Online,FORT-916905,,
Equipping kicks and navigating to a different locker section causes the application to crash,Mitigated,36.00/36.10 - equipping (certain?) kicks and then navigating to a different inventory page causes the client to crash,hotfix,#sh-06-06-equipping-kicks-and-navigating-to-a-diff-ext,Alejandrina Quirini,,FORT-912178,,
crash that triggers when a physics prop is destroyed about to release in 36.00 - a lot of creators using physics will hit this crash upon the release of 36.00.,Resolved,"We have a server side solution that will disable physic impulses on damageable props. There is a slight regression that community is aware of to help communicate out.
Engineer tested on 36.10 and it works
Creating IR and preflight after syncing to 36.00 and then QA can help test",Server (CL 43335755),#sh-06-06-physics-crash-when-destroying-a-prop-ext,Brenna Collins,,FORT-917468,,
We need to disable og ranked ,Resolved,"Update: All of the critical Run of Show content is represented now on the 36.00 sheet.

There is a request to disable Ranked mode in OG with the launch of 36.00.
As far as I know, none of the follow ups related to closing Ranked with the 36.00 launch have been completed. We need to go through those steps and loop in anyone that need be aware, as well as update the Run of Show.",,#sh-06-06-we-need-to-disable-og-ranked-during-the-ext,Tommy Eubanks,,,,
Navigation Issue on playtime modal,Resolved,"Updates:
-   A fix was committed into 36.10 for testing tomorrow
-   The fix is being prepped for 36.00 as well for EP",36.00 EP (CL 43336057),#sh-06-06-navigation-issue-on-playtime-modal-ext,Darin Devine,,FORT-920089,,
Darth Jar Jar skin cannot be unlocked as XP is not counting towards it even if players have unlocked prior stages.,Resolved,"36.00? Live impact, not sure if work for 36.00 yet",Calendar,#sh-06-06-ps-t3-xp-not-counting-towards-darth-jar-ext,Amanda Perry,,FORT-920435,,
"CMS is too slow, not functioning",In PIR,"There's currently a leak in playersurveyv2 page and somebody is reverting its version, which causes a lag in CMS as that page is huge with content types.",,#sh-06-06-cms-is-not-functioning-ext,Tan Ngo,,SHI-4700,,
Leak of c6s3 content through igs,Resolved,"When my team was scheduling the updates to publish the in-game survey tomorrow (alongside of launch), CMS was struggling to update and crashed. While we were able to get the survey to load, it seems as though the tool published items early.",,sh-06-06-leak-of-c6s3-content-through-igs-ext,Jarrod Walczer,,SHI-4700,,
36.00 Switch2 is timing out when attempting to install,Resolved,,,#sh-06-07-36-00-switch2-is-timing-out-when-attempt-ext,,,,,
36.00 Server Deploy failing during downtime,Resolved,36.00 Server Deploy is failing on Preview (pre-deploy),,#sh-06-07-36-00-server-deploy-is-failing-ext,Colin Rocks,,,,
Invalid Battlepass item during 36.00 lightswitch down,Resolved,"An invalid battle pass item is appearing in the Shop, and interacting with it will leave the Shop in an unresponsive state.",,#sh-06-07-36-00-unresponsive-shop-ext,Mariana Gauer,Shop,,,
UEFN not launching with 36.00,Resolved,"-   Launcher fix has been pushed
-   This will require all UEFN users to patch (very very small file)
-   During normal business hours we'll have to efferts
     1) for the launcher team to make this fix so when we push UEFN updates we don't need to refix manually
     2) for the FN team to figure out why this DLL isnt packages as expected",Launcher DLL Update,#sh-06-07-uefn-not-launching-with-36-00-ext,Todd Winchell,,,,
Cant hide Creator Profile widget component,Resolved,,Hotfix,#sh-06-07-cant-hide-creator-profile-widget-compone-ext,Kavan Mann,FNE - Content Dev,FORT-920631,,
possible FTUE flow issues,Pending Release,"- After many QA attempts to repro the issue, we were unable to do so.  
- Root cause: One delay was caused by a time out between the server and client. This was a known risk with optimization work already underway to reduce the time outs .
- A secondary cause is currently being investigated where the step to loop for interstitials at all is being skipped by the client.
- Player impact: Low player impact - users will still get the sequence in the first play session of the season - just after they click on any game tile.",36.20 in CL 43411504,#sh-06-07-possible-ftue-flow-issues-ext,David Hook,FNO - Commerce,FORT-920627,,
VK Play Server Instability,Resolved,800 crashes in the last 15 minutes according to Crash Reporter,server (CL 43335413),#sh-06-07-vk-play-servers-crashing-and-burning-ext,Todd Winchell,FNE - Framework - Shield,"FORT-920629
FORT-920630 ",,
Wrong Superman Cape Asset,Duplicate,Being handled in prior SH,MCP,#sh-06-07-wrong-cape-on-superman-bundle-ext,,,,,
PC MTBF is low,Resolved,"7PM EST tick for PC MTBF is around 3. Several crash groups, with the main ones being around memory corruption around movie scene/queue and UI widgets (cross platform)
",All client EP,#sh-06-07-36-00-pc-mtbf-is-extremely-low-ext,Chris Tran,Tech,FORT-920637,,
No Push Notification on IOS,Active,"- Believe that this SH is strongly related to #sh-06-07-install-hangs-on-ios-ext.
- As we have just updated the other one with the pending release, we believe the fix will help this SH as well.
-I will still keep this SH open because, even with the possible mitigation from the other SH, we still need to identify new Jiras for sending new notifications to users.",36.30 fix,#sh-06-07-no-push-notification-when-background-upg-ext,Rafael Ferrari,Tech - Mobile,FORT-920638,,
